"","ENSEMBL","SYMBOL","Cov1","Cov2","Cov3","Mock1","Mock2","Mock3"
"5507","ENSG00000124615","20_MOCS1",350,350,281,1060,1032,1020
"5508","ENSG00000124635","8_H2BC11",82,59,55,41,107,20
"5509","ENSG00000124641","16_MED20",396,475,341,2112,1416,2537
"5510","ENSG00000124657","1_OR2B6",4,0,0,3,15,5
"5511","ENSG00000124659","7_TBCC",776,795,603,2227,3636,2582
"5512","ENSG00000124664","11_SPDEF",22,14,14,7,0,0
"5513","ENSG00000124678","19_TCP11",6,5,2,3,18,5
"5514","ENSG00000124688","13_MAD2L1BP",1530,1539,1125,2618,4024,2459
"5515","ENSG00000124701","5_APOBEC2",860,797,551,9079,15740,7838
"5516","ENSG00000124702","18_KLHDC3",2282,2328,1911,9439,12358,10063
"5517","ENSG00000124713","6_GNMT",11,11,4,26,40,16
"5518","ENSG00000124721","18_DNAH8",10,27,17,42,23,37
"5519","ENSG00000124731","13_TREM1",34,55,28,14,36,31
"5520","ENSG00000124733","5_MEA1",1235,1129,994,3632,8766,3945
"5521","ENSG00000124743","6_KLHL31",266,310,257,2141,924,1685
"5522","ENSG00000124749","17_COL21A1",267,189,115,2601,2354,2317
"5523","ENSG00000124762","13_CDKN1A",35578,34280,26667,44777,60718,47121
"5524","ENSG00000124766","7_SOX4",5583,4449,3444,8299,18331,9748
"5525","ENSG00000124767","7_GLO1",3697,3888,2998,13653,17702,12811
"5526","ENSG00000124772","12_CPNE5",198,177,211,6090,7482,6793
"5527","ENSG00000124780","14_KCNK17",1,3,0,5,3,0
"5528","ENSG00000124782","20_RREB1",454,336,361,677,342,1054
"5529","ENSG00000124783","14_SSR1",8343,8506,5911,12007,9936,13278
"5530","ENSG00000124784","9_RIOK1",591,618,496,1175,697,1015
"5531","ENSG00000124785","9_NRN1",0,0,2,12,3,2
"5532","ENSG00000124786","11_SLC35B3",772,822,616,1118,1297,1176
"5533","ENSG00000124787","14_RPP40",122,61,85,317,697,339
"5534","ENSG00000124788","18_ATXN1",718,759,589,2224,2376,2664
"5535","ENSG00000124789","11_NUP153",1035,576,1001,930,216,962
"5536","ENSG00000124795","17_DEK",1861,1860,1613,6627,7215,5271
"5537","ENSG00000124802","12_EEF1E1",290,278,306,1084,2721,790
"5538","ENSG00000124812","15_CRISP1",0,3,0,0,0,1
"5539","ENSG00000124813","23_RUNX2",118,168,99,80,164,167
"5540","ENSG00000124818","15_OPN5",4,4,9,9,3,0
"5541","ENSG00000124827","7_GCM2",1,3,6,9,6,2
"5542","ENSG00000124831","19_LRRFIP1",3430,3244,2660,12982,12680,14245
"5543","ENSG00000124835","2_AC105760",0,0,0,0,0,0
"5544","ENSG00000124839","13_RAB17",17,32,42,144,145,138
"5545","ENSG00000124875","10_CXCL6",159,166,149,91,91,29
"5546","ENSG00000124882","4_EREG",10,16,25,106,72,45
"5547","ENSG00000124900","12_TRIM51",0,0,0,9,7,12
"5548","ENSG00000124915","10_MYRF-AS1",0,3,0,0,1,0
