"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_007144",0.0143597040291015,5.73810936828913,5.05704581200589,0.000411154488528326,0.000682225368133284,-1.70591582951543
"NM_017773",0.111412440302434,5.27303510906656,5.05649850841945,0.00041149884382504,0.000682749550763979,0.0612307434778137
"NM_138386",0.0195564129350707,5.71336202867377,5.05634602088609,0.000411594841212376,0.000682861619597471,-1.59049905996364
"NM_032996",0.0195060202649486,5.70528525848347,5.05482700097519,0.000412552427111207,0.00068440300343326,-1.55141043759608
"NM_000498",0.0974130724998874,5.42806930737627,5.05405507576261,0.000413039952094517,0.000685164421500444,-0.16021233136848
"NM_001648",0.103338434598298,5.38499936879781,5.05302195653316,0.000413693396092081,0.000686200947281079,-0.0832627449478389
"XM_926487",0.0518002475252013,5.59084637787435,5.05043918996989,0.000415331788989756,0.00068886007207807,-0.825081155660754
"NM_020933",0.0156801385081238,5.7259478128769,5.05040437511177,0.000415353920960073,0.00068886007207807,-1.66234909325528
"NM_144566",0.026047569942782,5.64554529497462,5.04993879270472,0.000415650014176768,0.000689303506097459,-1.19970901509863
"NM_001039379",-0.015141102103688,5.76079925335003,-5.0468213589442,0.000417638365209727,0.000692553082638945,-1.80809694123027
"NM_020191",0.01196829663147,5.78508773162852,5.04414080387641,0.00041935613643649,0.000695353549431791,-1.88831806179571
"NM_207285",0.131617719866153,5.27875659183271,5.04402071930646,0.000419433265022303,0.000695433392783094,0.0368172246992451
"NM_183010",0.027801033764602,5.62732134560681,5.04367099223935,0.000419657975410766,0.000695757903416577,-1.08908739411272
"XM_927548",0.105142817591546,5.28854051386998,5.04356173261619,0.000419728204254749,0.000695826269400703,0.0252169858231346
"NM_000939",-0.100611345799627,5.36792466826459,-5.04254607294928,0.000420381637073267,0.000696861395894351,-0.0726305470714932
"NM_002871",-0.0400110283871786,5.61376286400767,-5.04231468170126,0.000420530655367752,0.000697060275490437,-0.993200485282942
"NM_001013739",-0.013249715167273,5.79008549928007,-5.04136429054282,0.000421143304828958,0.000698027577064572,-1.90776214893227
"NM_001009186",0.0166653329535373,5.79868743955978,5.04066060888219,0.000421597528243161,0.000698700127974968,-1.93435899486215
"NM_001017927",-0.0407124054216137,5.59359090916594,-5.04064547590073,0.000421607302222229,0.000698700127974968,-0.866845048893654
"NM_001005184",0.104625286738266,5.18153657111344,5.03998379867079,0.000422034896560389,0.000699360458292435,0.114618339657735
"NM_001012982",-0.172335259708084,5.34638107911252,-5.03959934183227,0.000422283554596908,0.000699724199829176,-0.0501473442852021
"NM_177537",-0.0196849553105007,5.74261330615437,-5.03907311433196,0.000422624158671156,0.000700240235285312,-1.75233824472276
"NM_000801",0.0115856085174393,5.86589150747378,5.03844959070861,0.000423028115526205,0.000700861160612241,-2.13665526373799
"XM_293565",0.0417659144096065,5.61633902271998,5.037842375259,0.000423421900600978,0.000701465149059396,-1.01516454634944
"NM_207327",0.0540166240073212,5.50533247296336,5.03759096636927,0.00042358505549434,0.000701687005236344,-0.416156520250405
"NM_145702",0.0225446994139826,5.6802783534179,5.03741006226303,0.000423702496695704,0.000701833109303396,-1.43907891761639
"NM_001010909",0.089302172957586,5.31177201521995,5.03557774362039,0.000424893968710577,0.000703758126228699,-0.0123819710463211
"NM_000198",-0.07302040527507,5.4961715464836,-5.03547147265831,0.000424963180745785,0.000703824190042015,-0.382246562126272
"NM_024501",0.046196147317799,5.54197631105074,5.03450744981606,0.000425591575020398,0.000704790314358001,-0.584135343622276
"NM_205837",-0.040880111644543,5.56131864272526,-5.03448648608933,0.000425605251082938,0.000704790314358001,-0.687054793589799
"NM_173607",-0.0162561960711489,5.72896645298523,-5.03434308160208,0.000425698816069663,0.000704896618302188,-1.70230473437478
"NM_031209",0.0233427411352052,5.65384558598183,5.03421859237011,0.00042578005739263,0.000704982502754269,-1.28045136756562
"NM_138323",-0.0843191455992374,5.37957042304143,-5.03409911988126,0.000425858040267635,0.000705062980575555,-0.102350810885928
"NM_001389",-0.0208541311083312,5.65329205446682,-5.03341675695665,0.000426303727172946,0.000705752186807664,-1.28004570501232
"NM_001033506",-0.01590064879995,5.73045586038775,-5.03263397129844,0.000426815614801374,0.000706550886690094,-1.71202267596418
"NM_014891",0.0285079700309376,5.61435332255261,5.0313035101859,0.000427687140533838,0.000707916977376821,-1.02294818745019
"NM_024093",-0.0225298691378555,5.66722839715618,-5.03128414383004,0.000427699840498496,0.000707916977376821,-1.37034212357369
"NM_015666",0.0437092349609047,5.55606515688266,5.03093220313086,0.000427930703972968,0.000708250251386197,-0.662860697378846
"NM_033059",0.132355003813905,5.29544699802072,5.02980788883037,0.000428669109390423,0.000709423433000286,-0.00235628716023939
"NM_022730",0.0280537606775093,5.69621584886664,5.0278276698323,0.000429972927415727,0.000711532114595426,-1.54201587562748
"NM_021077",0.0720788305537647,5.43314663554217,5.02610725911043,0.000431109096715556,0.000713363094399706,-0.213392002905281
"NM_002890",-0.0157501530033741,5.75880349391551,-5.02602854943677,0.000431161153155011,0.000713400046585333,-1.8350265095153
"NM_178356",-0.0271285401277668,5.73867628674991,-5.02571586701675,0.000431368018667399,0.000713693123398426,-1.75468940725959
"NM_006880",-0.114085039457857,5.30061459501314,-5.0245084841577,0.000432167791691136,0.000714967050429948,-0.0169705607568709
"NM_005600",0.0252862216648504,5.65338786637219,5.02414368141921,0.000432409747061549,0.000715318026569973,-1.29269232136047
"NM_003639",0.0245964717809377,5.65159834732522,5.02394487938747,0.000432541662958943,0.000715486933008107,-1.28192290272194
"NM_012473",0.0155385297737993,5.70793661947136,5.02349665675978,0.000432839239526974,0.000715929824165912,-1.61770865579882
"NM_016124",0.0330787956683398,5.62046452702347,5.02301036644336,0.000433162334945305,0.000716414860360231,-1.07349449717637
"NM_022458",-0.0122175913289073,5.7713852783498,-5.02288125930128,0.000433248157788996,0.000716507427434943,-1.8814041159433
"NM_000701",-0.0121186799423789,5.86609274856117,-5.02239358997295,0.000433572494452254,0.00071699440962269,-2.16332653130041
"XM_379215",0.0215220074196099,5.70113192315138,5.02146556963342,0.000434190409015423,0.000717966405766643,-1.58263726526474
"NM_054024",0.197440596176161,5.22952977905882,5.02142101451391,0.000434220099154285,0.000717966405766643,0.0482501453601065
"NM_015015",0.0224852252753864,5.68185226108812,5.02088983752348,0.000434574224786449,0.000718454382126761,-1.47498981354142
"NM_207498",0.194520264411544,5.27828074981023,5.02088853371297,0.000434575094388925,0.000718454382126761,0.00350086122009952
"NM_175851",0.0841110201624495,5.4670561916059,5.02043653274555,0.00043487667671246,0.000718903446831453,-0.310340107551191
"XM_378517",0.0785758739975062,5.39753335844306,5.02004208746826,0.000435140038313501,0.00071928927057814,-0.153637698663216
"NM_003131",0.0155876809925495,5.78474148135083,5.01927405984319,0.000435653317258904,0.000720088127700668,-1.92742835632133
"NM_053052",-0.016147053575275,5.70727809312637,-5.01740514794986,0.000436905009961869,0.000722107309350929,-1.62422896193291
"NM_033204",0.0658454179438541,5.5723615649394,5.01712493548867,0.000437093009134558,0.000722368283929857,-0.761133647355912
"NM_020637",-0.108708687593984,5.45668063553758,-5.01699680057524,0.000437179005548065,0.000722460657794777,-0.28697141886836
"XM_291314",-0.0301717159650954,5.62815848426241,-5.01607905609551,0.000437795464918259,0.000723429575739344,-1.13840968042535
"XM_927634",-0.100792320404764,5.26794791988965,-5.01580880546299,0.000437977170972951,0.000723680007115375,0.00171457433279265
"NM_138322",-0.0456995910010187,5.56812885938472,-5.01520800502648,0.000438381412499591,0.000724298079305397,-0.753963500877923
"NM_000342",0.0830518785630128,5.38729006534295,5.01346550757248,0.000439556070888333,0.000726188869093412,-0.147525381431647
"NM_006788",-0.0124983022155316,5.82707505357107,-5.01318856509204,0.000439743071495451,0.000726447805333894,-2.06455777223573
"NM_017425",0.0899091789693518,5.40565776761735,5.01197520663046,0.00044056336580813,0.000727752823965525,-0.182532896775328
"NM_020110",0.087222353931474,5.35282340920759,5.01140866711406,0.000440946931943872,0.000728336295020848,-0.0998691569137415
"XM_292889",-0.160951138005743,5.33664839075473,-5.01129163680343,0.000441026209485658,0.000728417110154552,-0.0805952804070298
"NM_000709",0.0158853937482721,5.73217279864855,5.01045017352623,0.000441596670614158,0.000729309117446999,-1.75565383115162
"XM_084672",-0.0346408998389665,5.61160392488094,-5.0097569369493,0.000442067230851273,0.000730036024250364,-1.03644542286458
"NM_025268",-0.0730339455303222,5.44071534199725,-5.00890696520627,0.000442644906658472,0.000730939711008898,-0.258611654059562
"NM_153376",-0.0623147137457041,5.51768999334741,-5.00791107098934,0.00044332277593593,0.000732008711555716,-0.51230824426799
"XM_497160",-0.0334703092189255,5.62882638274239,-5.00565253903232,0.000444864159295397,0.000734503289975889,-1.157313146281
"NM_015852",-0.0334014996461622,5.61562205509376,-5.0014371953303,0.000447756231211387,0.000739227457458437,-1.07695993180628
"NM_018223",0.0287745081352142,5.68998602176252,5.00086182489145,0.000448152526152414,0.000739830831452602,-1.55073720106381
"XM_926441",0.0190279436512126,5.69168038888164,5.00016067070813,0.000448635959301576,0.000740577964319268,-1.56661040991127
"XM_496618",-0.163735638631058,5.41018263878885,-4.99961778537065,0.000449010648719466,0.000741145499949601,-0.220620502247945
"NM_005301",0.0699549558996582,5.50647036590988,4.99875431183283,0.000449607285870111,0.000742079283466244,-0.480100208372139
"NM_001032287",0.0253294595268514,5.72803334403617,4.9958992870525,0.000451586023372987,0.000745293945877575,-1.75689488204825
"NM_144568",-0.0167007053218171,5.6975001126794,-4.99568563414254,0.000451734471058806,0.000745487678292741,-1.60727583964552
"NM_199282",0.032144412706522,5.61698626293703,4.99318240277187,0.0004534775946569,0.000748312862470131,-1.09967400179318
"NM_015262",-0.0121921718860616,5.76752066022188,-4.99293212549411,0.00045365226679392,0.000748534819361786,-1.9180910510562
"NM_001017424",-0.0719826909766956,5.44098686319084,-4.99290030708163,0.000453674478434856,0.000748534819361786,-0.284858178975274
"NM_012257",0.0208309172670518,5.69062460757022,4.99092180834794,0.000455057886403156,0.000750765743704939,-1.57490809992412
"NM_033052",0.14569407150883,5.29595279728588,4.99041203403979,0.000455415055449778,0.000751303363403537,-0.0646195113329009
"XM_926412",-0.0314122544712712,5.75689860564044,-4.99022700836425,0.000455544765620553,0.000751465693511119,-1.88143109818721
