Acc	UGCluster	LLID
BC021222	Hs.500903	54805
BC010153	Hs.95577	1019
BC005115	Hs.166071	1020
BC030792	Hs.500015	8851
BC013967	Hs.370771	1026
BC067842	Hs.106070	1028
BC016173	Hs.525324	1031
BC041799	Hs.105818	51265
BC010966	Hs.435570	6792
BC017789	Hs.22857	26973
BC002880	Hs.274873	833
BC022801	Hs.388220	81602
BC047691	Hs.149443	11068
BC039013	Hs.433419	1327
BC024240	Hs.401903	9377
BC067424	Hs.1361	1544
BC067433	Hs.12907	1571
BC017758	Hs.436317	1580
BC032563	Hs.469840	23332
BC019254	Hs.171458	10495
BC034529	Hs.155597	1675
BC011927	Hs.65234	55661
BC012726	Hs.495410	64794
BC012461	Hs.445168	317781
BC001132	Hs.506861	79039
BC035974	Hs.5683	1665
BC009472	Hs.477700	51163
BC005322	Hs.156316	1634
BC038575	Hs.82890	1603
BC002730	Hs.289347	9249
BC017717	Hs.49322	1735
BC031695	Hs.549129	25911
AF196571	Hs.379912	28514
BC011937	Hs.502244	10480
BC033736	Hs.80552	1805
BC019285	Hs.115242	4733
BC031870	Hs.524488	1606
BC008018	Hs.502461	8525
BC046934	Hs.87889	23405
BC000192	Hs.83765	1719
BC067109	Hs.173381	1808; 23753
BC039006	Hs.519659	1809
BC009646	Hs.134406	54957
BC001435	Hs.247362	23564
BC030832	Hs.176247	57628
BC017225	Hs.74375	1855
BC013010	Hs.407015	1745
BC006226	Hs.99348	1749
BC012529	Hs.511979	25851
BC030716	Hs.369285	25896
AL117580	Hs.241431	2775; 26077
BC019069	Hs.528354	26156
BC013294	Hs.105460	25849
BC001553	Hs.476930	25978
BC010139	Hs.7158	26001
AF038183	Hs.335274	27351
BC015236	Hs.523012	54541
BC031044	Hs.513053	55466
BC001144	Hs.317192	51726
BC012115	Hs.237506	25822
BC014145	Hs.462640	55735; 90326
BC011837	Hs.500156	7266
AF035299	Hs.103854	1796
BC008992	Hs.473133	55816
BC016322	Hs.549080	8813
BC028311	Hs.301865	1638
BC000195	Hs.279583	51108
BC027925	Hs.34780	1641
